weight logl t0 tau logZsun
0.000000000000000000e+00 -1.383954750000000000e+06 1.336332012172229611e+01 1.286128699171507739e+00 -7.923154865470327657e-01
0.000000000000000000e+00 -1.363643875000000000e+06 1.217715753497023634e+01 6.568200401330754445e+00 -2.115676032677840546e+00
0.000000000000000000e+00 -1.352338625000000000e+06 1.306675323944844891e+01 4.574717998089203319e-01 -1.492845790169153419e+00
0.000000000000000000e+00 -1.349127750000000000e+06 1.276079874184972063e+01 1.045228179107076771e+00 -1.641455003526733236e+00
0.000000000000000000e+00 -1.348598875000000000e+06 1.234463847089018351e+01 5.125372323452626055e+00 -1.873937568470974480e+00
0.000000000000000000e+00 -1.348260375000000000e+06 1.322841311918124596e+01 7.399748283544574923e-01 -2.703057963230337535e-01
0.000000000000000000e+00 -1.338683125000000000e+06 1.247493847769114339e+01 3.076469704889288170e+00 -1.713979626842977222e+00
0.000000000000000000e+00 -1.321887875000000000e+06 1.237044125915692128e+01 9.375263828222057949e-01 -2.298179863746482976e+00
0.000000000000000000e+00 -1.308644750000000000e+06 1.264892005443862111e+01 4.520127799494608745e-01 -2.426420331040135991e+00
0.000000000000000000e+00 -1.288989000000000000e+06 1.295599877773323882e+01 3.754354018257318737e-01 -1.687287679145611285e+00
0.000000000000000000e+00 -1.286312000000000000e+06 1.312130912331014976e+01 8.501989048103848479e-01 3.114883941696078296e-02
0.000000000000000000e+00 -1.279253625000000000e+06 1.323309749003121460e+01 4.304124748187531102e-01 -2.375392779427456524e-01
0.000000000000000000e+00 -1.279070625000000000e+06 1.299879382770225433e+01 9.083081730799124287e+00 -1.094912303518471575e-01
0.000000000000000000e+00 -1.265576875000000000e+06 1.236707640842733014e+01 1.286132965828002739e+00 -1.989107073309356988e+00
0.000000000000000000e+00 -1.263617250000000000e+06 1.342555894808156047e+01 1.610464661992790369e-01 -5.593717950139027728e-01
0.000000000000000000e+00 -1.241986500000000000e+06 1.251873575799543126e+01 6.919294365826572424e+00 4.377347183791222562e-01
0.000000000000000000e+00 -1.231493250000000000e+06 1.260458575331945497e+01 3.897990042583328596e-01 -2.432737954960472404e+00
0.000000000000000000e+00 -1.220530375000000000e+06 1.317699323731606320e+01 4.371041425148570192e-01 -5.005329070042385808e-02
0.000000000000000000e+00 -1.219332375000000000e+06 1.292022561732286157e+01 5.690986598867590063e-01 -1.387772452145179969e+00
0.000000000000000000e+00 -1.214491000000000000e+06 1.315737027822870431e+01 4.776658219186929344e+00 -7.023457368126364564e-01
0.000000000000000000e+00 -1.213776500000000000e+06 1.321981295444443205e+01 3.410655341540027585e-01 -1.321640341178929035e-01
0.000000000000000000e+00 -1.203779500000000000e+06 1.317134240751729557e+01 6.364465182128198339e-01 -8.816926760029382137e-01
0.000000000000000000e+00 -1.196927250000000000e+06 1.236101278258431435e+01 1.498236316064123663e+00 -1.695751954941748352e+00
0.000000000000000000e+00 -1.193633750000000000e+06 1.199069194680579642e+01 1.244108134207689842e+00 -2.344917745116112506e+00
0.000000000000000000e+00 -1.190912750000000000e+06 1.262876621845964920e+01 6.827628121605414435e+00 -1.209980451994225437e+00
0.000000000000000000e+00 -1.190480875000000000e+06 1.243932182263976749e+01 5.978976918232611126e+00 4.165624054705818757e-01
0.000000000000000000e+00 -1.184131625000000000e+06 1.233398819164941429e+01 4.394224099693782470e+00 -1.482702634367991656e+00
0.000000000000000000e+00 -1.175241750000000000e+06 1.173827468015181630e+01 7.521595013219079640e+00 -1.914236919380833513e+00
0.000000000000000000e+00 -1.170716500000000000e+06 1.339632489904685286e+01 1.595795449558043144e-01 -7.939428766637715018e-01
0.000000000000000000e+00 -1.164756375000000000e+06 1.260362319635092554e+01 1.651438713760163157e+00 -1.333671138091919506e+00
0.000000000000000000e+00 -1.152530500000000000e+06 1.313289992624534719e+01 8.143738990760271967e-01 -7.673256541366755279e-01
0.000000000000000000e+00 -1.148222625000000000e+06 1.277286095740969252e+01 9.953178063445990986e+00 -9.690328221382409346e-01
0.000000000000000000e+00 -1.128382875000000000e+06 1.312609496356020955e+01 3.757289966554407390e-01 -3.344905808372216072e-01
0.000000000000000000e+00 -1.121426500000000000e+06 1.210394032254062857e+01 1.809521761605313639e+00 -1.732189886327621720e+00
0.000000000000000000e+00 -1.121342375000000000e+06 1.156152350561882258e+01 1.953806644976128215e+00 -2.339195409402984094e+00
0.000000000000000000e+00 -1.118723375000000000e+06 1.295444688485633655e+01 2.765733015357029867e+00 -7.641936641670885599e-01
0.000000000000000000e+00 -1.107657875000000000e+06 1.336951060833536076e+01 1.208272034746332435e-01 -3.357764842409438621e-01
0.000000000000000000e+00 -1.106613375000000000e+06 1.203371219398821879e+01 1.930224348642783916e+00 -1.745174804964915172e+00
0.000000000000000000e+00 -1.101074500000000000e+06 1.210282461955876343e+01 8.138263017111423636e+00 -1.424595846896249629e+00
0.000000000000000000e+00 -1.094946375000000000e+06 1.160925380379623917e+01 2.131344618590583107e+00 -2.140385422083742384e+00
