t0 tau logZsun
1.064016996712729224e+01 4.779894417889082869e-01 1.247113735808582646e-01
1.064892539296199914e+01 4.776919874844917646e-01 1.327911122265650334e-01
1.064276276062894055e+01 4.775105653068921208e-01 1.270003711542386782e-01
1.063800736172512096e+01 4.802335572268166541e-01 1.333753581978207592e-01
1.065450712599301042e+01 4.777663142660703577e-01 1.487622763813440940e-01
1.091819924827574795e+01 4.330368712809991583e-01 1.933226084578412163e-01
1.091937500055396981e+01 4.322391443234989694e-01 1.944297422914518236e-01
1.095228761075525448e+01 4.255178934214945974e-01 1.998930610764118043e-01
1.062824031540680281e+01 4.795980936163113939e-01 1.197991468590804409e-01
1.089267631492325172e+01 4.356365795318125622e-01 1.830280056452449067e-01
1.098491125230978227e+01 4.190187690011182853e-01 2.098810200164242801e-01
1.094874564936838013e+01 4.271851169914264168e-01 2.015511917230945471e-01
1.062419510152008684e+01 4.831292501853085564e-01 1.383321496476441759e-01
1.092315588246913727e+01 4.330375827482858542e-01 1.988624730808474794e-01
1.104597759347257657e+01 4.086677959947367378e-01 2.204406757939736394e-01
1.094367324680707476e+01 4.254308790635861759e-01 1.859175694544217272e-01
1.082145262657713758e+01 4.453604899240416470e-01 1.679049947235178308e-01
1.093946564027263335e+01 4.296095985986275734e-01 2.077742326378890780e-01
1.093062837413782518e+01 4.312879266903716369e-01 2.006124485677784897e-01
1.085036881108400486e+01 4.411114129879087353e-01 1.664344176409326970e-01
1.092432111223617675e+01 4.316789680227742787e-01 2.000222449091175747e-01
1.093423829440602546e+01 4.281666054847587111e-01 1.900258069827569507e-01
1.062219470502583896e+01 4.835326134193800307e-01 1.368470389764198103e-01
1.094461291283297655e+01 4.265127367781447187e-01 1.866467463436398688e-01
1.080703042728857000e+01 4.488534814899046710e-01 1.679098031416632608e-01
1.086565149801898045e+01 4.421748048497682881e-01 1.928400693427745338e-01
1.090049844823382585e+01 4.381313486394894929e-01 2.035212042082843453e-01
1.094348683075300421e+01 4.292781536402767162e-01 2.069595246493030061e-01
1.089123846401391305e+01 4.377433802703907806e-01 1.892693244648468998e-01
1.094974040227029732e+01 4.265863585007542702e-01 2.067819755593864883e-01
1.087333999860291023e+01 4.428627346598154046e-01 2.027374845462293074e-01
1.056633435928294240e+01 4.913853981730402221e-01 1.196103479620171939e-01
1.064401430289620443e+01 4.792941323752308302e-01 1.418403339409715080e-01
1.061536014715586518e+01 4.874425283594562841e-01 1.482638914757510307e-01
1.060752081803451929e+01 4.841816415540058927e-01 1.223927333414689400e-01
1.084277143634579055e+01 4.453753503148142334e-01 1.819625680069618667e-01
1.057030633611794279e+01 4.922296440606024337e-01 1.257823650187295250e-01
1.088735711426844155e+01 4.376031057672379876e-01 1.897210258757517920e-01
1.095041277068326657e+01 4.272766718327838387e-01 2.051194815685319917e-01
